             id   bayes.sfh.sfr  bayes.sfh.sfr_err  bayes.sfh.sfr10Myrs  bayes.sfh.sfr10Myrs_err  bayes.sfh.sfr100Myrs  bayes.sfh.sfr100Myrs_err  best.chi_square  best.reduced_chi_square  best.agn.fracAGN_dale2014  best.attenuation.Av.nebular.continuum_old  best.attenuation.Av.nebular.continuum_young  best.attenuation.Av.nebular.lines_old  best.attenuation.Av.nebular.lines_young  best.attenuation.Av.stellar.old  best.attenuation.Av.stellar.young  best.attenuation.FUV  best.attenuation.V_B90  best.attenuation.av_old_factor  best.attenuation.nebular.continuum_old  best.attenuation.nebular.continuum_young  best.attenuation.nebular.lines_old  best.attenuation.nebular.lines_young  best.attenuation.powerlaw_slope  best.attenuation.stellar.old  best.attenuation.stellar.young  best.attenuation.uv_bump_amplitude  best.attenuation.uv_bump_wavelength  best.attenuation.uv_bump_width  best.dust.alpha  best.dust.luminosity  best.nebular.f_dust  best.nebular.f_esc  best.nebular.lines_width  best.nebular.logU  best.sfh.age  best.sfh.integrated    best.sfh.sfr  best.sfh.sfr100Myrs  best.sfh.sfr10Myrs  best.sfh.tau_main  best.stellar.b4_sdss_old  best.stellar.b4_sdss_young  best.stellar.b4_vn_old  best.stellar.b4_vn_young  best.stellar.b_400_old  best.stellar.b_400_young  best.stellar.b_912_old  best.stellar.b_912_young  best.stellar.imf  best.stellar.lum_ly_old  best.stellar.lum_ly_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young  best.stellar.metallicity  best.stellar.n_ly_old  best.stellar.n_ly_young  best.stellar.old_young_separation_age  best.universe.age  best.universe.luminosity_distance  best.universe.redshift         best.FUV        best.NUV     best.UX_B90     best.BX_B90      best.V_B90        best.RC        best.IC         best.J         best.H         best.K     best.IRAC1      best.IRAC2     best.IRAC3     best.IRAC4     best.IRAS1     best.MIPS1     best.IRAS2     best.IRAS3     best.MIPS2     best.IRAS4     best.MIPS3  best.SCUBA450  best.SCUBA850 
        NGC0958   9.26357530693     0.463178765347        9.27608605299           0.463804302649          9.4018711147            0.470093555735    761.248849106            36.2499451955                        0.0                                       0.44                                          1.0                                   0.44                                      1.0                             0.44                                1.0         1.65842062687          0.494569217751                            0.44                       3.82795301186e+33                         4.51614551319e+35                    9.9817395346e+33                     1.09654657205e+36                             -0.7             9.86845073729e+36               9.43332237478e+36                                 0.0                                217.5                            35.0              2.0      2.0863743928e+37                  0.0                 0.0                     300.0               -2.0        5000.0        64320817572.4   9.26357530693         9.4018711147       9.27608605299             2000.0             1.60660602683            0.00124489049993           1.65783586592          0.00145283464602           1.87382587836          0.00144763544513           139.363508752           0.0313006663153               0.0        3.67951451922e+34          2.22942027165e+36       17150988924.5           17147891529.3             3097395.19044        47169828622.1            47080165248.3               89663373.808                      0.02      9.09873569538e+51        6.84735358896e+53                                   10.0      13479.7135123                  2.66958305826e+24                    0.02    2.09718415962   3.24753694832   6.49866805985   14.0043963126   20.5769192786  25.7369379994  31.9478844343  44.9438498873   53.570803912   44.694469425  27.0935118412   19.8529147633  37.7710795544  112.168683748  134.263885421  242.150036597  254.318799967  2318.08828961  2998.33479631  4562.83763299  4496.41027422  419.489952874  42.7995045447 
       UGC02369   17.7954728254     0.889773641272         17.819506164           0.890975308199         18.0611412318             0.90305706159    528.054351472             27.792334288                        0.0                                       0.44                                          1.0                                   0.44                                      1.0                             0.44                                1.0         1.65842062687          0.494569217751                            0.44                       7.35355751345e+33                         8.67558605538e+35                   1.91750775217e+34                     2.10648308868e+36                             -0.7             1.89574479729e+37               1.81215595936e+37                                 0.0                                217.5                            35.0              2.0     4.00795778958e+37                  0.0                 0.0                     300.0               -2.0        5000.0       123561294996.0   17.7954728254        18.0611412318        17.819506164             2000.0             1.60660602683            0.00124489049993           1.65783586592          0.00145283464602           1.87382587836          0.00144763544513           139.363508752           0.0313006663153               0.0        7.06840485105e+34          4.28275115667e+36       32947317555.3           32941367410.8             5950144.53004        90613977391.3            90441732650.0              172244741.276                      0.02      1.74788133575e+52        1.31538731733e+54                                   10.0      13345.6045006                  4.03524333938e+24                    0.03    1.48613672115    2.3063945699   4.51406205451   9.74637625947   14.6328651046  18.2049692726  22.6368976476  32.0458570821  38.0888058294  32.4773975263  19.5784790275   14.3705541832    24.79469173  80.7353851492  96.9072942078  169.159562577  178.217730742  1634.33713023  2118.22710716  3244.73932076  3246.04944265  310.425010775  31.7827519828 
        NGC1614   10.2565907398     0.512829536988         10.270442584             0.5135221292         10.4097112634            0.520485563168    632.882151341             31.644107567                        0.0                                       0.44                                          1.0                                   0.44                                      1.0                             0.44                                1.0         1.65842062687          0.494569217751                            0.44                       4.23829311177e+33                         5.00025688952e+35                    1.1051739084e+34                     1.21409164863e+36                             -0.7             1.09263062149e+37               1.04445339633e+37                                 0.0                                217.5                            35.0              2.0     2.31002475479e+37                  0.0                 0.0                     300.0               -2.0        5000.0        71215732590.2   10.2565907398        10.4097112634        10.270442584             2000.0             1.60660602683            0.00124489049993           1.65783586592          0.00145283464602           1.87382587836          0.00144763544513           139.363508752           0.0313006663153               0.0        4.07394265111e+34          2.46840453665e+36       18989501175.5           18986071752.9             3429422.63382        52226231386.0            52126956484.1              99274901.8629                      0.02      1.00740810308e+52        7.58136044513e+53                                   10.0      13479.7135123                  2.66958305826e+24                    0.02    3.36539287795   5.21138673808   10.4285411009   22.4731316008   33.0201891297  41.3005731738  51.2674016956  72.1222843614  85.9661280219  71.7220986038  43.4774940345    31.858364772  60.6119980174  179.999304155  215.455911056  388.582950535  408.110405666  3719.88210216  4811.48711854  7322.07574756  7215.47845181   673.16381983  68.6812110008 
 IRASF105652448   24.3881247179      1.21940623589        24.4210616375            1.22105308187         24.7522147475             1.23761073737    451.339093483            23.7546891307                        0.0                                       0.44                                          1.0                                   0.44                                      1.0                             0.44                                1.0         1.65842062687          0.494569217751                            0.44                        1.0077814707e+34                         1.18896124197e+36                   2.62788287033e+34                     2.88686750764e+36                             -0.7             2.59805743872e+37               2.48350161744e+37                                 0.0                                217.5                            35.0              2.0     5.49277759546e+37                  0.0                 0.0                     300.0               -2.0        5000.0       169336791567.0   24.3881247179        24.7522147475       24.4210616375             2000.0             1.60660602683            0.00124489049993           1.65783586592          0.00145283464602           1.87382587836          0.00144763544513           139.363508752           0.0313006663153               0.0        9.68702212944e+34          5.86937309106e+36       45153241925.1           45145087442.8             8154482.22767       124183549573.0           123947493680.0              236055893.173                      0.02      2.39541530739e+52        1.80269612738e+54                                   10.0      13213.3510237                  5.42121266363e+24                    0.04     1.0460646187   1.62875638914   3.12596247029   6.73377327594   10.3387786295  12.8011101177  15.9474719159  22.7214416521  26.9069974824  23.4437177004  14.0522597371   10.3340778335  15.8946518564  57.7507371123  69.4308884911  117.538115656  124.272129062  1145.54004163  1488.12839903  2293.41852245  2328.48012791   228.28126105   23.452371247 
     CGCG011076  0.761532794958    0.0380766397479       0.762561268641           0.038128063432        0.772901709176           0.0386450854588    1281.00277996            61.0001323788                        0.0                                       0.44                                          1.0                                   0.44                                      1.0                             0.44                                1.0         1.65842062687          0.494569217751                            0.44                       3.14685384369e+32                         3.71259778341e+34                   8.20571081301e+32                     9.01440478592e+34                             -0.7             8.11257923951e+35               7.75487229906e+35                                 0.0                                217.5                            35.0              2.0     1.71515043602e+36                  0.0                 0.0                     300.0               -2.0        5000.0        5287635751.53  0.761532794958       0.772901709176      0.762561268641             2000.0             1.60660602683            0.00124489049993           1.65783586592          0.00145283464602           1.87382587836          0.00144763544513           139.363508752           0.0313006663153               0.0          3.024826682e+33           1.8327444797e+35       1409935159.93           1409680531.68             254628.255108        3877700589.47            3870329612.56              7370976.90675                      0.02       7.4798178836e+50        5.62901918956e+52                                   10.0      13479.7135123                  2.66958305826e+24                    0.02   0.100990399679  0.156385910545  0.312944898871  0.674385019735    0.9908864191  1.23936834214  1.53845793806  2.16428173101  2.57971474436  2.15227275582  1.30469447664  0.956021810269   1.8188752776  5.40150951993  6.46550918715  11.6607923372  12.2467820181  111.628090354  144.385521921  219.724526391  216.525701204  20.2006379878   2.0610202734 
     CGCG247020  0.712271610663    0.0356135805331       0.713233555587          0.0356616777793        0.722905105235           0.0361452552617    1052.49486937            52.6247434687                        0.0                                       0.44                                          1.0                                   0.44                                      1.0                             0.44                                1.0         1.65842062687          0.494569217751                            0.44                       2.94329367114e+32                         3.47244139772e+34                    7.6749089417e+32                     8.43129102062e+34                             -0.7             7.58780175958e+35               7.25323376683e+35                                 0.0                                217.5                            35.0              2.0     1.60420269709e+36                  0.0                 0.0                     300.0               -2.0        5000.0         4945595066.0  0.712271610663       0.722905105235      0.713233555587             2000.0             1.60660602683            0.00124489049993           1.65783586592          0.00145283464602           1.87382587836          0.00144763544513           139.363508752           0.0313006663153               0.0        2.82916006642e+33          1.71418994839e+35       1318730846.45           1318492689.31             238157.146464        3626864217.55            3619970046.18              6894171.37159                      0.02       6.9959717647e+50        5.26489547285e+52                                   10.0      13345.6045006                  4.03524333938e+24                    0.03  0.0881529158993  0.136808009424  0.267759841335  0.578124121758  0.867975138879  1.07986102651  1.34274895853   1.9008585846  2.25930713454   1.9264561948  1.16133326806  0.852415687142  1.47074245843  4.78896693413  5.74823327813  10.0340086355  10.5713104362  96.9436940373  125.646512448  192.467643379  192.545355654  18.4134268931  1.88525202474 
          VV705   14.2185895401     0.710929477003        14.2377921867           0.711889609334         14.4308586975            0.721542934877    655.220621631            31.2009819824                        0.0                                       0.44                                          1.0                                   0.44                                      1.0                             0.44                                1.0         1.65842062687          0.494569217751                            0.44                       5.87549524357e+33                         6.93179655022e+35                   1.53208942159e+34                     1.68308078717e+36                             -0.7             1.51470081238e+37               1.44791329915e+37                                 0.0                                217.5                            35.0              2.0      3.2023597947e+37                  0.0                 0.0                     300.0               -2.0        5000.0        98725521587.6   14.2185895401        14.4308586975       14.2377921867             2000.0             1.60660602683            0.00124489049993           1.65783586592          0.00145283464602           1.87382587836          0.00144763544513           139.363508752           0.0313006663153               0.0        5.64765815811e+34          3.42191979928e+36       26324919228.6           26320165060.9              4754167.7373        72400602319.3            72262978705.7              137623613.639                      0.02       1.3965578505e+52        1.05099496567e+54                                   10.0      13213.3510237                  5.42121266363e+24                    0.04   0.704414936323   1.09679680168   2.10500825198   4.53449088001   6.96208432997  8.62020663659   10.738951699   15.300510684  18.1190440623  15.7868879378  9.46272483648    6.9589188363  10.7033829222   38.889071553  46.7544299091  79.1496077539  83.6842603366  771.401212754  1002.09858235  1544.37711933  1567.98743759  153.723514869  15.7927151949 
 IRASF152503608    9.4956140345     0.474780701725        9.50843815606           0.475421907803         9.63737394572            0.481868697286    634.664857979            31.7332428989                        0.0                                       0.44                                          1.0                                   0.44                                      1.0                             0.44                                1.0         1.65842062687          0.494569217751                            0.44                       3.92383751829e+33                         4.62926821406e+35                   1.02317672036e+34                     1.12401342614e+36                             -0.7             1.01156406911e+37                9.6696130129e+36                                 0.0                                217.5                            35.0              2.0     2.13863495563e+37                  0.0                 0.0                     300.0               -2.0        5000.0        65931957998.3    9.4956140345        9.63737394572       9.50843815606             2000.0             1.60660602683            0.00124489049993           1.65783586592          0.00145283464602           1.87382587836          0.00144763544513           139.363508752           0.0313006663153               0.0        3.77168086308e+34          2.28526392012e+36       17580595584.4           17577420604.1             3174980.31443        48351362387.4            48259453080.0               91909307.422                      0.02      9.32664543684e+51        7.01886957079e+53                                   10.0      12954.2840292                  8.25326873638e+24                    0.06   0.245227208737  0.381407220573  0.709184333824   1.50396850583   2.41041397918  2.96915819521  3.71301875865  5.36317092444   6.2913187557  5.71930038116  3.39028786959   2.50125393169  3.25111199452  13.6305892659  16.6441977987  26.6712421458  28.3839096157  264.117240702  344.749862281  537.246628137  561.422729198  57.8519240527  5.98495192435 
