             id  bayes.sfh.sfr  bayes.sfh.sfr_err  bayes.sfh.sfr10Myrs  bayes.sfh.sfr10Myrs_err  bayes.sfh.sfr100Myrs  bayes.sfh.sfr100Myrs_err  best.chi_square  best.reduced_chi_square  best.agn.fracAGN_dale2014  best.attenuation.Av.nebular.continuum_old  best.attenuation.Av.nebular.continuum_young  best.attenuation.Av.nebular.lines_old  best.attenuation.Av.nebular.lines_young  best.attenuation.Av.stellar.old  best.attenuation.Av.stellar.young  best.attenuation.FUV  best.attenuation.V_B90  best.attenuation.av_old_factor  best.attenuation.nebular.continuum_old  best.attenuation.nebular.continuum_young  best.attenuation.nebular.lines_old  best.attenuation.nebular.lines_young  best.attenuation.powerlaw_slope  best.attenuation.stellar.old  best.attenuation.stellar.young  best.attenuation.uv_bump_amplitude  best.attenuation.uv_bump_wavelength  best.attenuation.uv_bump_width  best.dust.alpha  best.dust.luminosity  best.nebular.f_dust  best.nebular.f_esc  best.nebular.lines_width  best.nebular.logU  best.sfh.age  best.sfh.integrated   best.sfh.sfr  best.sfh.sfr100Myrs  best.sfh.sfr10Myrs  best.sfh.tau_main  best.stellar.b4_sdss_old  best.stellar.b4_sdss_young  best.stellar.b4_vn_old  best.stellar.b4_vn_young  best.stellar.b_400_old  best.stellar.b_400_young  best.stellar.b_912_old  best.stellar.b_912_young  best.stellar.imf  best.stellar.lum_ly_old  best.stellar.lum_ly_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young  best.stellar.metallicity  best.stellar.n_ly_old  best.stellar.n_ly_young  best.stellar.old_young_separation_age  best.universe.age  best.universe.luminosity_distance  best.universe.redshift         best.FUV         best.NUV     best.UX_B90    best.BX_B90     best.V_B90        best.RC        best.IC         best.J         best.H         best.K     best.IRAC1     best.IRAC2     best.IRAC3     best.IRAC4     best.IRAS1     best.MIPS1     best.IRAS2     best.IRAS3     best.MIPS2     best.IRAS4     best.MIPS3  best.SCUBA450  best.SCUBA850 
        NGC0958  17.3565403617      1.98553385209        17.3860069866            1.98832307658         17.6839739219             2.01643464854    39.8201570067             1.8961979527                        0.0                                       0.88                                          2.0                                   0.88                                      2.0                             0.88                                2.0         3.02308139547          0.936386224767                            0.44                       2.43465310481e+34                         1.09819489033e+36                   5.83318578442e+34                     2.54758722523e+36                             -0.7             4.92183255743e+37               2.11540053687e+37                                 1.0                                217.5                            35.0              2.5     7.41007914474e+37                  0.0                 0.0                     300.0               -2.0        8000.0       454148158307.0  18.3203471547        18.6641870051       18.3512941005             2000.0             1.77745467056           0.000348810546046           1.84847766104          0.00040707440836           2.07444198305         0.000405618422059           41.4057255512          0.00877174308253               0.0        1.65871385081e+35          4.40954505602e+36      130887680335.0          130881551622.0             6128712.74515       323260477921.0           323083093874.0              177384047.182                      0.02      3.79657210593e+52        1.35432339754e+54                                   10.0      13479.7135123                  2.66958305826e+24                    0.02     1.1743265438    1.67521229241   8.58460613581  23.9915810352  44.2488493487  63.5168475198  90.1489272576  151.754301029  194.732948642  167.923924449  109.888105728  81.1216784115  175.713662075  543.714259522  630.671362922  528.222180555  586.205013974  5383.57265224  7755.29140496  16254.3963055  22541.6673129  2687.65359524   267.04883274 
       UGC02369  41.3203785617      2.23518927123        41.3294965634             2.2328808067         41.4203100281             2.20988730361    75.0913959125            3.95217873223                        0.0                                       1.32                                          3.0                                   1.32                                      3.0                             1.32                                3.0         4.36322335648           1.45198356539                            0.44                       3.48908028492e+34                          2.5624835182e+36                   8.07338033129e+34                     5.94387655414e+36                             -0.7             8.60670087731e+37               4.78869820806e+37                                 3.0                                217.5                            35.0              1.5     1.42575975532e+38                  0.0                 0.0                     300.0               -2.0       12000.0       429355066039.0  40.6275834659         40.711013122        40.635196849             8000.0             1.77081052862           0.000816949149294           1.83831629902         0.000953417136991           2.06655746019         0.000949998786083           90.4202115487           0.0205288038903               0.0        1.90053899508e+35          9.77402386341e+36      122442802775.0          122429241793.0             13560982.0024       306912263149.0           306519472564.0              392790585.499                      0.02      4.63862739299e+52        3.00200779744e+54                                   10.0      13345.6045006                  4.03524333938e+24                    0.03   0.276611154294   0.205562404966   2.50645385624   7.2457394949  13.1784100961   18.981424916  27.3011426828  48.1060528372  63.4228056544  57.9411039185  37.0434169824  27.6049293954  41.9763211789  126.197852849  178.295746707  1103.20721106  1113.16359841  8117.77475169  8855.29590271  8811.78682169  5583.22852893  375.940392764  42.1316613992 
        NGC1614  63.5779641326      3.17889820663        63.3453230859            3.16726615429         60.9730971858             3.04865485929    177.361218748            8.86806093741                        0.0                                       1.32                                          3.0                                   1.32                                      3.0                             1.32                                3.0         4.40555109642           1.62865588239                            0.44                       1.65897753372e+34                         4.02428667171e+36                   3.83870690757e+34                     9.33464079877e+36                             -0.7             6.71434766541e+37               7.50715214594e+37                                 3.0                                217.5                            35.0              1.5     1.55628902428e+38                  0.0                 0.0                     300.0               -2.0        1000.0        33312916236.6  63.8842634523        61.0893851797       63.6322177097             8000.0             1.20880077844             0.0164870367858           1.22427663256           0.0192415863109           1.40610312783           0.0191721370705           1618.14089143            0.413431219583               0.0        6.14274365525e+34          1.53487897236e+37       6429036309.07           6407843115.76             21193193.3142        26883879744.7            26268751388.9              615128355.737                      0.02      2.20556077931e+52        4.71454348167e+54                                   10.0      13479.7135123                  2.66958305826e+24                    0.02    1.60182978906     1.1454286407   9.78841891452   21.943384169  29.6440910242  36.3102569189  44.5193252238   64.431034448   78.467192323   70.878565352  56.8057750429  45.3113471223  143.167635834   502.67198161  744.024356492  4829.28147976  4873.34819426  34803.2592032  37708.7483516  37407.4519331  23337.0810227  1546.26260176  174.518823805 
 IRASF105652448  134.735585103      6.73677925516        134.327701053            6.71638505266          130.15031941              6.5075159705    45.0070069517            2.36878983956                        0.0                                       1.32                                          3.0                                   1.32                                      3.0                             1.32                                3.0         4.40089026136           1.62268713904                            0.44                       3.55036695451e+34                          8.5408143064e+36                   8.21519151143e+34                     1.98110721683e+37                             -0.7             1.44662329882e+38               1.59363913615e+38                                 3.0                                217.5                            35.0              1.5     3.32495785556e+38                  0.0                 0.0                     300.0               -2.0        1000.0        73787102266.8  135.559566195        130.421762199       135.100595147             4000.0             1.21390886723             0.0158037160328           1.22871176939           0.0184440411128           1.41206967341           0.0183775304272           1568.90929282            0.396408511611               0.0        1.32184099179e+35          3.25752824762e+37       14311504037.9           14266495535.4             45008502.4855        59475597842.0            58169601726.4              1305996115.58                      0.02      4.72010617856e+52        1.00057584614e+55                                   10.0      13213.3510237                  5.42121266363e+24                    0.04     0.4447803107   0.304015812891   2.61436085525  6.03283450415  8.51167707092  10.3118325698  12.6887771503  18.5263736737  22.4757480013  21.0960161178  16.6150890716  13.1856268646  32.0710309829  144.389793422  210.278857081  1294.22165352  1309.72661481  9791.89066514  10719.6943384  10771.2084401  6869.85728458  470.624917003  53.2703553267 
     CGCG011076  6.64792832696      1.27661745678        6.65973676374             1.2785226966         6.77925770482             1.29772929573    223.017823097            10.6198963379                        0.0                                       1.32                                          3.0                                   1.32                                      3.0                             1.32                                3.0         4.19025551759           1.36676456411                            0.44                       1.90767199252e+34                          3.8376343874e+35                   4.47423076392e+34                     8.90994245585e+35                             -0.7             3.14565086981e+37               7.18298347531e+36                                 1.0                                217.5                            35.0              2.0     3.99780688852e+37                  0.0                 0.0                     300.0               -2.0       10000.0       346870256867.0  6.09164361519        6.21376768483       6.10262132985             2000.0             1.86736292661             0.0001518695382           1.94553734568         0.000177237079505           2.17994119817         0.000176603269463           19.7640272484          0.00381936860431               0.0        1.15483120532e+35          1.46625721614e+36      103226133188.0          103224095008.0             2038180.07402       243644123662.0           243585135689.0              58987973.0083                      0.02      2.57849367893e+52        4.50337406367e+53                                   10.0      13479.7135123                  2.66958305826e+24                    0.02  0.0776666234533   0.126309171199   1.18463233754  4.02347762784  8.77343599184  13.8632771633  21.5740774785  41.5944873367  56.5674231685  50.3686298756  32.9366067728  24.2414889653  44.2387240359  126.781954316  149.850808339  271.911269578  283.439048204   2572.9581359  3352.26349818  5074.63530427  5044.30380039  470.470136434  47.6115784805 
     CGCG247020  10.1824251759     0.817766419492        10.1845751538           0.817055035141         10.2059564673            0.809965584011    212.302792522            10.6151396261                        0.0                                       1.32                                          3.0                                   1.32                                      3.0                             1.32                                3.0         4.36454317738           1.46193461415                            0.44                       7.47577558753e+33                         6.56200715795e+35                   1.72981916898e+34                     1.52210776059e+36                             -0.7             2.04575062589e+37               1.22625030255e+37                                 3.0                                217.5                            35.0              2.0      3.4923091728e+37                  0.0                 0.0                     300.0               -2.0       10000.0        82582885293.2  10.4041476215        10.4168562599       10.4053162286             8000.0             1.71288791053            0.00108761181797           1.77547517335          0.00126929343529           1.99856411143          0.00126474200149           119.192133457           0.0273291503875               0.0        3.98215217637e+34          2.50292895624e+36       23007376612.9           23003904224.2             3472388.75371        59575508651.1            59474927980.2              100580670.852                      0.02      9.93881899882e+51        7.68754082323e+53                                   10.0      13345.6045006                  4.03524333938e+24                    0.03   0.104752357881  0.0776229554668  0.916514054903  2.59634018322  4.58779154908  6.49877010645  9.19881943382   15.831868464  20.7250424095  19.1384528855  14.2230074029  10.9489301512  27.0994350815  100.970378253   122.23958716  218.038764031  228.526987249  2096.69872129  2728.88147542  4168.16482186  4190.47789043  400.690200153  40.8576098829 
          VV705  110.559119553      5.52795597767        110.176792094            5.50883960471         106.287712756             5.31438563781    81.3480479497            3.87371656903                        0.0                                       1.32                                          3.0                                   1.32                                      3.0                             1.32                                3.0         4.25672964425           1.61173163482                            0.44                       2.86185669122e+34                         7.04622391254e+36                   6.71216398838e+34                     1.63594139655e+37                             -0.7             1.16418754401e+38               1.31561193462e+38                                 1.0                                217.5                            35.0              1.5     2.71481325947e+38                  0.0                 0.0                     300.0               -2.0        1000.0        58425693012.4  112.043098787        107.141315383       111.601049611             8000.0             1.20880077844             0.0164870367858           1.22427663256           0.0192415863109           1.40610312783           0.0191721370705           1618.14089143            0.413431219583               0.0        1.07734205107e+35          2.69193987742e+37       11275533462.5           11238363885.5             37169577.0414        47150159229.2            46071319411.7              1078839817.57                      0.02      3.86821184002e+52        8.26857871577e+54                                   10.0      13213.3510237                  5.42121266363e+24                    0.04   0.469937746396   0.674300049115   2.65216351254  5.82617884691  8.07601208621  9.70623331838  11.8801161954  17.2805308788  20.9365359852  19.6398470453  15.5232145626  12.3290804967  30.1715651552  136.133204421  198.333675731  1220.55262156   1235.2603933   9235.6449899  10110.0673151  10160.0521995  6478.89480517  443.850558334  50.2565118279 
 IRASF152503608  137.749540651      6.88747703254        135.376895159            6.76884475795         111.339841212              5.5669920606    164.902320159            8.24511600797                        0.0                                       1.32                                          3.0                                   1.32                                      3.0                             1.32                                3.0         4.54973860566           1.85165660936                            0.44                       2.99835359959e+34                         8.67769303825e+36                   6.93788821133e+34                     2.01285728583e+37                             -0.7             9.70472442497e+37               1.60929994184e+38                                 3.0                                217.5                            35.0              1.5     2.86882866748e+38                  0.0                 0.0                     300.0               -2.0         250.0        17470866836.3  138.326370296        111.458132072        135.90235558             8000.0            0.961843045642             0.0671253964576             1.023587018           0.0783465208739           1.11836626604           0.0780574615443           4531.94500641              1.6714590433               0.0         9.7534367003e+34          3.30902474939e+37       2491191966.75           2446232048.45             44959918.3066        14979674448.9            13665612153.7              1314062295.26                      0.02      3.98622101103e+52        1.01661150129e+55                                   10.0      12954.2840292                  8.25326873638e+24                    0.06   0.217338123282   0.134517478855  0.999397044873  1.86288622636  2.60417078662  3.01585318507  3.68231322181  5.51714924407  6.70617622509  6.67972855387  6.21513863893  5.03238376935  12.4413179897  74.3917530984  109.267282494   640.78569471  651.191849029  5092.39928594  5629.03670688  5737.51856565  3727.92082895   264.16482688  30.1364659518 
